Aluno,Projeto Emparelhado,Rank do Aluno (Lista do Projeto),Rank do Projeto (Lista do Aluno)
A1,P32,N/A,Não listado
A2,P1,2º (de 5 elegíveis),1ª escolha
A6,P9,1º (de 8 elegíveis),2ª escolha
A8,P6,1º (de 1 elegíveis),1ª escolha
A10,P43,1º (de 9 elegíveis),2ª escolha
A14,P15,2º (de 9 elegíveis),3ª escolha
A18,P33,N/A,Não listado
A23,P9,2º (de 8 elegíveis),1ª escolha
A24,P10,4º (de 10 elegíveis),1ª escolha
A25,P34,3º (de 9 elegíveis),3ª escolha
A26,P15,3º (de 9 elegíveis),3ª escolha
A31,P12,1º (de 8 elegíveis),1ª escolha
A32,P2,2º (de 3 elegíveis),1ª escolha
A33,P42,N/A,Não listado
A34,P4,2º (de 3 elegíveis),1ª escolha
A35,P44,N/A,Não listado
A41,P14,2º (de 7 elegíveis),1ª escolha
A42,P16,1º (de 1 elegíveis),1ª escolha
A43,P14,3º (de 7 elegíveis),2ª escolha
A45,P11,1º (de 5 elegíveis),1ª escolha
A46,P43,2º (de 9 elegíveis),1ª escolha
A48,P26,1º (de 6 elegíveis),1ª escolha
A50,P10,5º (de 10 elegíveis),3ª escolha
A53,P45,2º (de 7 elegíveis),3ª escolha
A55,P35,1º (de 3 elegíveis),1ª escolha
A56,P36,1º (de 5 elegíveis),1ª escolha
A58,P47,2º (de 5 elegíveis),2ª escolha
A60,P3,2º (de 9 elegíveis),1ª escolha
A61,P37,1º (de 14 elegíveis),1ª escolha
A62,P38,1º (de 5 elegíveis),1ª escolha
A63,P39,1º (de 9 elegíveis),1ª escolha
A64,P30,4º (de 15 elegíveis),1ª escolha
A68,P36,2º (de 5 elegíveis),1ª escolha
A69,P29,3º (de 7 elegíveis),2ª escolha
A73,P45,3º (de 7 elegíveis),3ª escolha
A81,P46,N/A,Não listado
A82,P19,N/A,Não listado
A83,P27,6º (de 7 elegíveis),1ª escolha
A84,P40,2º (de 14 elegíveis),2ª escolha
A85,P5,4º (de 11 elegíveis),1ª escolha
A91,P24,4º (de 11 elegíveis),1ª escolha
A93,P26,2º (de 6 elegíveis),1ª escolha
A100,P20,3º (de 15 elegíveis),3ª escolha
A104,P25,3º (de 5 elegíveis),3ª escolha
A107,P41,1º (de 6 elegíveis),1ª escolha
A117,P48,N/A,Não listado
A127,P28,2º (de 14 elegíveis),1ª escolha
A129,P29,4º (de 7 elegíveis),2ª escolha
A137,P21,2º (de 10 elegíveis),2ª escolha
A144,P22,1º (de 2 elegíveis),1ª escolha
A157,P13,N/A,Não listado
A159,P49,1º (de 2 elegíveis),3ª escolha
A161,P17,3º (de 6 elegíveis),2ª escolha
A177,P18,3º (de 9 elegíveis),3ª escolha
A187,P7,2º (de 2 elegíveis),1ª escolha
A188,P8,5º (de 5 elegíveis),1ª escolha
A197,P23,1º (de 1 elegíveis),2ª escolha
A200,P31,N/A,Não listado
